Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Athletic Club,Leganés,1,2,1,H,17,12,5,2,12,13,6,2,4,5,0,0,1.75,3.3,5.5
Barcelona,Alavés,1,3,0,H,25,3,9,0,6,13,7,1,0,2,0,0,1.11,10,21
Betis,Levante,1,0,3,A,22,6,8,4,10,10,5,3,0,2,0,0,1.66,4,5
Celta Vigo,Espanyol,1,1,1,D,12,14,2,5,13,14,8,7,3,2,0,0,1.85,3.5,4.5
Eibar,Huesca,1,1,2,A,18,8,6,6,12,13,7,0,1,1,0,0,1.66,3.75,5.5
Girona,Valladolid,1,2,1,H,14,14,6,5,11,16,4,7,1,3,1,0,1.85,3.5,4.5
Rayo Vallecano,Sevilla,1,2,0,H,13,7,3,2,11,10,2,2,1,3,0,0,1.44,4.75,7
Real Madrid,Getafe,1,0,2,A,15,10,1,5,10,22,7,1,3,6,0,0,1.55,4,7
Valencia,Atlético Madrid,1,2,3,A,8,14,2,5,16,13,9,3,4,1,0,0,5.75,3.4,1.72
Villarreal,Real Sociedad,1,1,2,A,16,8,7,4,16,10,4,6,2,3,0,0,2.04,3.4,3.8
Alavés,Betis,2,0,0,D,16,13,4,5,17,15,5,6,3,1,0,0,2.8,3.25,2.6
Athletic Club,Huesca,2,2,2,D,14,9,4,4,17,17,3,2,2,2,0,0,1.61,3.6,6.5
Atlético Madrid,Rayo Vallecano,2,1,3,A,11,11,2,4,21,16,3,4,7,3,1,0,2.37,3.25,3.1
Espanyol,Valencia,2,3,1,H,15,14,6,3,17,8,5,3,2,2,0,0,1.8,3.6,4.75
Getafe,Eibar,2,2,0,H,7,9,4,0,14,11,5,5,2,1,0,0,1.95,3.2,4.33
Girona,Real Madrid,2,1,0,H,15,7,4,3,12,18,3,6,1,2,0,1,4.75,3.4,1.75
Leganés,Real Sociedad,2,2,2,D,18,7,5,6,12,9,5,0,1,2,0,0,3.5,3.3,2.1
Levante,Celta Vigo,2,1,2,A,15,21,6,9,14,8,7,7,2,3,0,0,2.4,3.25,3
Sevilla,Villarreal,2,3,0,H,18,14,9,5,13,8,7,4,1,3,0,0,1.83,3.6,4.5
Valladolid,Barcelona,2,2,3,A,11,9,5,5,23,11,3,1,4,2,0,0,9.5,6,1.28
Alavés,Espanyol,3,2,1,H,8,11,5,7,19,13,0,12,4,3,0,0,2.9,3.1,2.54
Barcelona,Huesca,3,8,2,H,31,7,15,3,6,12,9,4,1,2,0,0,1.08,11,29
Betis,Sevilla,3,1,2,A,23,4,7,3,19,13,8,2,4,2,0,1,3,3.3,2.4
Celta Vigo,Atlético Madrid,3,2,0,H,10,9,4,0,12,14,2,8,4,5,0,1,5.5,3.4,1.75
Eibar,Real Sociedad,3,2,1,H,8,7,2,2,18,15,4,2,3,2,0,0,2.75,3.25,2.62
Getafe,Valladolid,3,2,1,H,11,7,2,2,12,13,2,2,2,1,0,0,1.7,3.6,5.5
Levante,Valencia,3,2,0,H,13,13,4,3,12,18,3,2,6,5,0,0,2.1,3.5,3.5
Rayo Vallecano,Athletic Club,3,3,0,H,11,5,4,3,12,16,8,2,2,4,0,0,1.45,4.33,7
Real Madrid,Leganés,3,0,3,A,7,9,3,5,11,23,3,4,1,1,0,0,1.36,5,8.5
Villarreal,Girona,3,0,1,A,13,14,3,6,15,11,7,2,3,2,0,0,1.57,4,6
Athletic Club,Real Madrid,4,2,0,H,10,10,3,4,14,14,7,6,4,3,0,0,2.75,3.2,2.7
Atlético Madrid,Eibar,4,1,1,D,18,12,9,3,5,21,14,3,2,2,0,0,1.36,4.33,12
Espanyol,Levante,4,1,0,H,22,16,9,4,17,13,5,4,1,2,0,0,1.72,3.6,5.25
Girona,Celta Vigo,4,3,2,H,11,20,6,7,15,11,3,1,1,3,0,1,2.4,3.3,3
Huesca,Rayo Vallecano,4,0,1,A,11,5,4,4,12,10,11,6,2,2,0,0,10,5.5,1.3
Leganés,Villarreal,4,0,1,A,16,9,3,3,16,9,6,1,4,3,0,0,3,3.1,2.54
Real Sociedad,Barcelona,4,1,2,A,8,12,5,6,18,8,1,6,1,1,0,0,7,5.25,1.4
Sevilla,Getafe,4,0,0,D,8,9,2,1,13,22,3,5,3,4,0,0,2,3.3,4
Valencia,Betis,4,0,2,A,10,6,2,3,10,9,13,4,1,2,0,0,2.7,3.2,2.75
Valladolid,Alavés,4,1,5,A,13,11,4,7,14,12,8,4,1,2,1,0,2.04,3.4,3.6
Barcelona,Girona,5,2,2,D,22,7,11,6,9,16,8,2,3,5,1,0,1.08,11,21
Betis,Athletic Club,5,2,2,D,15,7,3,4,13,20,6,1,2,7,0,1,2.14,3.3,3.6
Celta Vigo,Valladolid,5,2,2,D,14,11,5,4,16,20,3,5,0,4,0,0,1.45,4.75,7
Eibar,Leganés,5,1,0,H,14,4,3,2,16,17,5,2,1,1,0,0,2.04,3.2,4
Getafe,Atlético Madrid,5,0,2,A,11,7,2,4,12,15,1,5,1,2,1,0,5,3.3,1.8
Huesca,Real Sociedad,5,0,1,A,13,7,3,1,16,12,7,5,5,3,0,2,3.6,3.4,2.1
Levante,Sevilla,5,2,2,D,13,18,4,5,14,10,3,5,4,2,1,0,3.75,3.4,2
Rayo Vallecano,Alavés,5,3,0,H,22,8,8,1,10,12,7,2,0,3,0,0,1.2,6.5,15
Real Madrid,Espanyol,5,2,1,H,23,15,10,7,18,10,6,3,4,2,0,0,1.75,3.6,4.5
Villarreal,Valencia,5,0,1,A,27,9,7,3,17,12,7,2,3,3,0,0,1.53,4,6.5
Alavés,Getafe,6,1,1,D,15,13,2,5,8,22,5,7,4,2,0,0,2.8,3,2.75
Athletic Club,Villarreal,6,0,3,A,12,19,2,6,3,14,6,4,1,1,0,0,2.25,3.3,3.3
Atlético Madrid,Huesca,6,3,0,H,17,8,5,1,1,14,4,3,0,2,0,0,1.22,6,15
Espanyol,Eibar,6,1,0,H,9,8,5,1,8,8,4,3,2,2,0,0,1.9,3.3,4.5
Girona,Betis,6,0,1,A,8,14,2,6,17,14,5,1,1,3,0,0,2.5,3.3,2.87
Leganés,Barcelona,6,2,1,H,10,9,6,5,15,11,4,5,4,2,0,0,12,6,1.25
Real Sociedad,Rayo Vallecano,6,3,1,H,19,6,7,2,12,16,5,2,1,2,0,1,3,3.6,2.3
Sevilla,Real Madrid,6,1,1,D,16,11,6,3,13,17,6,4,0,4,0,0,2.2,3.5,3.2
Valencia,Celta Vigo,6,2,1,H,19,8,7,3,15,19,7,5,2,5,0,1,2.4,3.2,3.1
Valladolid,Levante,6,2,1,H,18,12,8,7,13,10,3,5,2,2,0,0,2.1,3.6,3.4
Barcelona,Athletic Club,7,1,1,D,20,8,8,2,9,18,4,3,3,3,0,0,1.16,7.5,17
Betis,Leganés,7,1,0,H,17,11,4,5,7,10,7,1,0,4,0,0,1.64,3.8,5.5
Celta Vigo,Getafe,7,1,1,D,8,12,2,4,13,15,3,9,2,2,0,0,2,3.5,3.8
Eibar,Sevilla,7,1,1,D,18,11,6,4,11,15,4,2,0,1,0,0,2.7,3.2,2.7
Huesca,Girona,7,1,1,D,13,14,6,4,14,14,5,5,4,2,0,0,2.5,3.3,2.9
Levante,Alavés,7,2,1,H,14,14,4,2,22,19,9,4,7,1,0,0,2.14,3.5,3.3
Rayo Vallecano,Espanyol,7,1,0,H,19,10,5,3,5,16,8,3,2,2,0,0,1.18,7,15
Real Madrid,Atlético Madrid,7,1,1,D,15,12,5,7,15,11,4,5,5,7,0,0,2.8,3.1,2.7
Real Sociedad,Valencia,7,1,2,A,23,10,5,6,9,16,11,6,2,2,0,0,1.61,3.6,6.5
Villarreal,Valladolid,7,3,1,H,12,7,4,3,16,7,5,5,3,3,0,0,1.6,4.2,5.5
Alavés,Real Madrid,8,1,1,D,11,14,3,3,21,14,2,5,3,3,0,0,3.6,3.6,2
Athletic Club,Real Sociedad,8,1,3,A,13,6,5,3,15,19,11,0,6,5,0,0,2.04,3.4,3.8
Atlético Madrid,Betis,8,1,0,H,13,5,5,0,16,10,6,4,5,3,0,0,1.44,4,9
Espanyol,Villarreal,8,3,1,H,28,13,12,6,13,8,10,3,3,2,0,0,2.25,3.2,3.4
Getafe,Levante,8,0,1,A,15,12,4,3,17,18,10,2,4,5,1,0,1.72,3.6,5.25
Girona,Eibar,8,2,3,A,10,12,3,4,9,17,4,9,3,6,0,0,2.1,3.2,3.8
Leganés,Rayo Vallecano,8,1,1,D,5,13,2,6,11,12,1,5,0,3,0,0,5.25,4.2,1.6
Sevilla,Celta Vigo,8,1,1,D,14,9,5,3,18,7,0,2,1,3,0,0,1.66,4,4.75
Valencia,Barcelona,8,0,1,A,7,10,4,5,13,11,6,10,1,1,0,0,17,7.5,1.16
Valladolid,Huesca,8,0,0,D,16,10,3,3,12,10,8,3,4,2,0,0,2.05,3.75,3.4
Barcelona,Sevilla,9,2,2,D,20,14,8,7,8,5,9,1,3,0,0,0,1.28,5.75,11
Betis,Valladolid,9,2,0,H,8,12,3,3,13,20,2,9,2,3,0,0,1.53,4.33,6
Celta Vigo,Alavés,9,0,1,A,19,9,9,2,9,12,6,2,2,3,0,0,1.66,4,5
Eibar,Athletic Club,9,1,1,D,18,6,6,3,7,13,8,2,2,3,0,0,2.7,3.2,2.75
Huesca,Espanyol,9,0,2,A,10,6,2,2,21,14,6,4,3,3,0,0,3.5,3.3,2.14
Rayo Vallecano,Getafe,9,2,0,H,10,4,3,1,11,27,3,0,1,7,0,0,1.2,7,13
Real Madrid,Levante,9,5,0,H,23,7,9,0,15,13,5,8,2,1,0,0,1.53,4.33,6
Real Sociedad,Girona,9,0,0,D,14,12,8,2,14,15,7,6,3,1,0,0,1.72,3.75,5
Valencia,Leganés,9,2,4,A,20,14,6,5,5,13,6,5,0,3,0,0,2.37,3.1,3.3
Villarreal,Atlético Madrid,9,1,1,D,18,15,6,4,16,9,8,7,3,1,0,0,3.8,3.1,2.14
Alavés,Villarreal,10,2,1,H,19,9,6,2,9,11,8,4,1,1,0,0,3,3.2,2.5
Athletic Club,Valencia,10,1,1,D,8,5,3,2,25,12,3,1,3,2,0,0,1.75,3.4,5
Atlético Madrid,Real Sociedad,10,2,0,H,14,7,4,0,10,7,10,1,2,1,0,0,1.53,3.8,7.5
Barcelona,Real Madrid,10,4,2,H,23,19,9,7,10,16,5,7,0,1,0,0,1.33,6,7.5
Celta Vigo,Eibar,10,4,0,H,10,17,6,5,9,8,2,8,0,0,0,0,2.14,3.3,3.6
Getafe,Betis,10,2,0,H,16,7,7,3,9,14,5,4,1,2,0,0,2.4,3.1,3.25
Girona,Rayo Vallecano,10,1,4,A,10,20,5,8,13,11,4,7,2,3,0,0,8,5.5,1.36
Levante,Leganés,10,2,0,H,9,21,4,6,12,14,3,2,2,2,0,0,2.1,3.25,3.75
Sevilla,Huesca,10,2,1,H,19,11,8,4,14,15,12,5,7,4,0,0,1.4,4.75,8
Valladolid,Espanyol,10,2,2,D,11,12,5,5,13,16,5,3,3,3,0,0,2.8,3.3,2.6
Betis,Celta Vigo,11,3,3,D,14,14,6,7,12,11,4,4,4,2,0,0,1.8,3.8,4.5
Eibar,Alavés,11,2,1,H,23,9,8,3,11,7,13,1,4,0,1,1,2.04,3.3,3.9
Espanyol,Athletic Club,11,1,0,H,8,10,3,2,15,13,2,1,1,3,0,0,2,3.3,4
Huesca,Getafe,11,1,1,D,18,8,7,2,18,13,10,2,5,3,0,0,3.6,3.3,2.1
Leganés,Atlético Madrid,11,1,1,D,8,9,3,4,18,12,4,7,4,2,0,0,5.75,3.4,1.72
Rayo Vallecano,Barcelona,11,0,1,A,17,10,3,4,16,13,8,6,3,2,0,0,2.75,3.7,2.45
Real Madrid,Valladolid,11,5,0,H,20,12,11,3,10,12,5,4,1,2,0,0,1.33,5.25,9
Real Sociedad,Sevilla,11,0,1,A,10,9,5,2,13,18,3,0,3,5,0,0,2.2,3.4,3.2
Valencia,Girona,11,1,0,H,13,6,4,0,17,17,4,5,4,3,0,0,2.3,3.3,3.25
Villarreal,Levante,11,1,1,D,23,13,4,2,14,10,5,4,3,3,0,0,1.55,4,6
Alavés,Huesca,12,2,1,H,13,9,5,2,20,13,5,4,3,4,0,0,1.8,3.6,4.33
Atlético Madrid,Athletic Club,12,3,2,H,9,6,3,5,8,15,12,2,5,4,0,1,1.44,4,9
Barcelona,Betis,12,3,4,A,20,15,5,8,13,11,10,5,4,2,1,0,1.18,7,13
Celta Vigo,Real Madrid,12,1,0,H,10,13,4,2,13,12,4,9,4,4,0,0,3.75,3.6,2
Getafe,Valencia,12,0,0,D,12,7,3,4,22,14,6,7,3,1,0,0,1.9,3.2,4.75
Girona,Leganés,12,0,0,D,5,10,0,1,13,13,0,6,1,4,0,0,2.04,3.2,3.75
Levante,Real Sociedad,12,1,3,A,17,15,2,4,17,12,6,4,6,1,0,0,2.62,3.4,2.62
Rayo Vallecano,Villarreal,12,3,2,H,24,15,11,7,9,14,8,3,0,3,0,0,1.7,4,4.75
Sevilla,Espanyol,12,0,0,D,21,6,1,1,12,10,10,2,2,4,0,1,1.72,3.7,4.8
Valladolid,Eibar,12,1,0,H,5,13,2,5,15,12,1,4,5,3,0,0,3.1,3.3,2.3
Athletic Club,Getafe,13,1,1,D,8,15,4,2,10,12,2,2,5,4,0,0,2.04,3.3,3.9
Atlético Madrid,Barcelona,13,1,1,D,3,8,1,2,19,12,2,8,5,3,0,0,3,3.3,2.37
Eibar,Real Madrid,13,1,3,A,15,7,2,5,16,9,6,3,2,3,0,0,3.3,3.4,2.2
Espanyol,Girona,13,1,3,A,18,16,10,11,16,14,8,3,3,4,0,0,1.66,3.6,5.75
Huesca,Levante,13,2,2,D,32,5,12,3,11,8,7,2,4,3,1,0,2.25,3.4,3.25
Leganés,Alavés,13,1,0,H,13,7,6,2,10,13,5,3,2,4,0,0,2.2,3.1,3.6
Real Sociedad,Celta Vigo,13,2,1,H,15,6,8,2,12,14,6,2,2,2,0,0,1.85,3.75,4.2
Sevilla,Valladolid,13,3,0,H,13,13,10,3,15,14,6,5,2,4,0,1,1.44,4.5,7.5
Valencia,Rayo Vallecano,13,1,4,A,10,15,2,6,14,12,5,12,1,6,0,1,5,4.33,1.61
Villarreal,Betis,13,2,1,H,13,13,8,6,15,13,5,4,2,1,0,0,2.14,3.4,3.4
Alavés,Sevilla,14,2,1,H,14,14,5,2,10,13,2,6,3,3,0,0,3.1,3.1,2.4
Barcelona,Villarreal,14,2,0,H,16,12,7,2,9,17,11,1,2,4,0,0,1.25,6.5,11
Betis,Real Sociedad,14,1,0,H,6,6,4,4,18,18,6,4,4,2,0,0,2.2,3.3,3.4
Celta Vigo,Huesca,14,2,0,H,12,8,5,3,14,14,4,4,2,3,0,0,1.64,4,5
Getafe,Espanyol,14,3,0,H,14,8,5,2,17,16,7,4,3,2,0,0,2.4,2.87,3.4
Girona,Atlético Madrid,14,1,1,D,13,17,3,3,8,16,2,9,0,5,0,0,5.5,3.4,1.75
Levante,Athletic Club,14,3,0,H,17,12,7,3,11,15,2,6,3,5,0,1,2.75,3.4,2.54
Rayo Vallecano,Eibar,14,2,1,H,13,3,7,1,9,15,5,4,0,1,0,0,1.3,5.5,9.5
Real Madrid,Valencia,14,1,0,H,17,13,9,5,15,15,8,6,3,3,0,0,1.4,4.75,8
Valladolid,Leganés,14,1,2,A,15,13,6,4,19,10,5,6,6,4,0,1,2.37,3.25,3.1
Athletic Club,Girona,15,1,0,H,25,3,10,1,17,15,11,0,3,1,0,0,1.95,3.4,4
Atlético Madrid,Alavés,15,3,0,H,12,13,5,3,20,15,5,5,5,4,0,0,1.36,4.5,10
Betis,Rayo Vallecano,15,1,2,A,9,14,2,5,9,13,6,5,2,3,0,0,3.25,3.75,2.1
Eibar,Levante,15,4,4,D,32,14,7,5,11,7,12,3,2,2,0,0,1.75,3.8,4.5
Espanyol,Barcelona,15,0,4,A,15,17,3,9,16,10,11,4,1,0,0,0,6.5,4.33,1.5
Huesca,Real Madrid,15,2,1,H,7,12,3,5,15,16,3,12,5,4,0,0,3.8,3.6,1.95
Leganés,Getafe,15,1,1,D,17,6,5,2,12,13,7,2,1,2,1,0,2.62,2.9,3
Real Sociedad,Valladolid,15,2,2,D,16,11,6,6,12,18,8,5,4,3,0,0,1.61,4,5.5
Valencia,Sevilla,15,0,2,A,19,9,4,6,12,10,8,2,1,3,0,0,8,5.25,1.36
Villarreal,Celta Vigo,15,2,3,A,13,14,3,7,12,10,6,1,3,3,0,0,1.72,3.8,4.75
Alavés,Athletic Club,16,0,0,D,11,6,2,3,16,13,5,3,2,2,0,0,3,3.2,2.5
Celta Vigo,Leganés,16,0,0,D,15,5,2,2,11,11,10,0,3,3,0,0,1.85,3.5,4.33
Eibar,Valencia,16,1,2,A,15,8,3,3,16,14,5,0,4,2,0,0,1.66,3.8,5.5
Espanyol,Betis,16,1,3,A,10,12,3,5,23,10,0,4,3,4,0,0,2.4,3.3,3
Getafe,Real Sociedad,16,1,0,H,9,9,2,4,24,14,2,3,3,4,0,0,2.25,3.1,3.5
Huesca,Villarreal,16,2,2,D,30,10,13,5,12,11,13,2,4,5,0,1,3.5,3.2,2.14
Levante,Barcelona,16,0,5,A,20,16,6,9,12,9,15,3,2,3,1,0,9,6.5,1.25
Real Madrid,Rayo Vallecano,16,3,0,H,16,21,7,3,16,12,5,6,3,4,0,0,4.33,4.2,1.72
Sevilla,Girona,16,0,1,A,27,5,9,3,14,13,11,2,4,4,0,0,1.5,4,7.5
Valladolid,Atlético Madrid,16,0,1,A,12,4,6,3,10,14,4,6,0,1,0,0,6,3.5,1.65
Athletic Club,Valladolid,17,3,2,H,15,8,9,4,10,16,3,6,1,3,0,1,1.6,4,5.5
Atlético Madrid,Espanyol,17,1,0,H,8,18,5,4,16,13,5,9,1,1,0,0,1.4,4,10
