Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Bayern Munich,Hoffenheim,1,3,1,H,16,8,5,5,2,21,7,2,1,4,0,0,1.2,7.5,12
Dortmund,RB Leipzig,1,4,1,H,10,10,5,7,8,11,7,9,2,2,0,0,1.72,3.8,4.75
Düsseldorf,Augsburg,1,1,2,A,9,14,5,7,11,10,7,5,1,0,0,0,2.37,3.25,3
Freiburg,Eint Frankfurt,1,0,2,A,22,10,6,2,7,12,6,4,1,2,0,0,2.3,3.3,3.25
Hertha BSC,Nürnberg,1,1,0,H,10,12,3,3,13,10,8,4,2,2,0,0,2.04,3.4,3.75
M'Gladbach,Leverkusen,1,2,0,H,17,13,7,3,10,10,9,5,1,2,0,0,2.8,3.5,2.45
Mainz 05,Stuttgart,1,1,0,H,8,12,3,3,15,6,6,3,1,2,0,0,2.7,3.25,2.7
Werder Bremen,Hannover 96,1,1,1,D,15,13,3,4,5,6,4,3,0,0,0,0,1.85,3.6,4
Wolfsburg,Schalke 04,1,2,1,H,11,9,7,4,16,11,7,2,5,3,0,1,3.1,3.3,2.37
Augsburg,M'Gladbach,2,1,1,D,18,7,7,2,12,12,9,4,1,2,0,0,2.62,3.4,2.7
Eint Frankfurt,Werder Bremen,2,1,2,A,5,11,1,6,6,11,8,3,1,2,1,0,2.4,3.5,2.9
Hannover 96,Dortmund,2,0,0,D,7,8,0,3,11,5,4,1,0,0,0,0,5.5,4.33,1.57
Hoffenheim,Freiburg,2,3,1,H,20,9,7,4,13,14,6,4,1,2,0,0,1.55,4,6.5
Leverkusen,Wolfsburg,2,1,3,A,16,12,3,5,13,13,5,3,3,3,0,0,1.61,4.33,5
Nürnberg,Mainz 05,2,1,1,D,19,6,4,1,10,11,5,1,2,2,0,0,2.37,3.3,3.1
RB Leipzig,Düsseldorf,2,1,1,D,23,14,7,8,11,15,3,3,1,4,0,0,1.4,4.75,8
Schalke 04,Hertha BSC,2,0,2,A,16,5,4,3,16,15,9,0,1,1,1,0,1.75,3.6,5
Stuttgart,Bayern Munich,2,0,3,A,4,20,0,6,3,5,0,12,0,0,0,0,11,5.5,1.28
Bayern Munich,Leverkusen,3,3,1,H,18,3,5,1,4,12,9,1,0,1,0,1,1.2,7,13
Dortmund,Eint Frankfurt,3,3,1,H,10,5,6,2,11,11,7,1,0,1,0,0,1.4,5,7.5
Düsseldorf,Hoffenheim,3,2,1,H,8,18,4,5,10,19,0,9,1,2,0,0,4,3.6,1.9
Freiburg,Stuttgart,3,3,3,D,12,11,5,6,13,11,5,8,3,4,1,0,2.62,3.25,2.75
M'Gladbach,Schalke 04,3,2,1,H,15,15,4,6,5,12,6,6,0,4,0,0,2.37,3.4,3
Mainz 05,Augsburg,3,2,1,H,22,13,7,4,9,16,5,4,1,2,0,0,2.54,3.25,2.87
RB Leipzig,Hannover 96,3,3,2,H,15,16,6,8,12,12,4,12,4,4,0,0,1.53,4.33,5.5
Werder Bremen,Nürnberg,3,1,1,D,14,11,2,2,17,5,4,7,2,0,0,0,1.66,4,5
Wolfsburg,Hertha BSC,3,2,2,D,15,9,6,5,10,13,7,2,1,2,0,0,2.1,3.25,3.75
Augsburg,Werder Bremen,4,2,3,A,21,12,7,7,10,11,7,4,2,2,0,0,2.5,3.25,2.9
Eint Frankfurt,RB Leipzig,4,1,1,D,8,9,5,2,14,8,4,2,1,1,0,0,2.9,3.4,2.35
Hertha BSC,M'Gladbach,4,4,2,H,16,17,7,4,9,13,8,7,2,2,0,0,2.37,3.3,3.1
Hoffenheim,Dortmund,4,1,1,D,17,8,5,2,12,10,4,4,2,1,0,1,2.62,3.75,2.4
Leverkusen,Mainz 05,4,1,0,H,18,12,5,5,12,13,7,4,2,2,0,0,1.57,4.33,5.5
Nürnberg,Hannover 96,4,2,0,H,14,9,6,3,16,7,9,3,3,1,0,1,2.5,3.25,2.9
Schalke 04,Bayern Munich,4,0,2,A,10,14,2,7,12,11,0,8,2,1,0,0,8,4.5,1.4
Stuttgart,Düsseldorf,4,0,0,D,10,19,1,7,8,19,2,9,0,2,0,0,1.72,3.6,5.25
Wolfsburg,Freiburg,4,1,3,A,17,12,9,8,12,17,7,7,0,3,0,0,1.72,3.6,5.25
Bayern Munich,Augsburg,5,1,1,D,16,12,8,4,6,15,8,4,3,2,0,0,1.1,10,23
Dortmund,Nürnberg,5,7,0,H,19,4,10,1,6,10,4,5,0,2,0,0,1.3,5.5,10
Düsseldorf,Leverkusen,5,1,2,A,16,6,4,3,6,12,7,5,2,2,0,0,3.75,3.75,1.95
Freiburg,Schalke 04,5,1,0,H,15,15,4,3,12,11,3,3,2,4,0,0,3.5,3.2,2.14
Hannover 96,Hoffenheim,5,1,3,A,17,17,8,9,12,13,8,5,2,2,0,0,3.5,3.6,2.04
M'Gladbach,Eint Frankfurt,5,3,1,H,21,12,9,2,7,11,9,6,0,0,0,0,1.75,3.8,4.75
Mainz 05,Wolfsburg,5,0,0,D,11,12,2,4,13,15,5,11,1,2,0,0,2.6,3.25,2.8
RB Leipzig,Stuttgart,5,2,0,H,18,9,8,0,11,8,4,2,2,3,0,0,1.72,3.8,4.75
Werder Bremen,Hertha BSC,5,3,1,H,14,12,6,2,13,9,2,3,1,3,0,0,2,3.5,3.8
Augsburg,Freiburg,6,4,1,H,21,13,10,6,12,8,5,3,0,1,0,0,1.9,3.4,4.33
Eint Frankfurt,Hannover 96,6,4,1,H,15,4,7,1,16,11,3,4,1,2,0,0,1.9,3.6,4
Hertha BSC,Bayern Munich,6,2,0,H,6,25,4,5,14,10,1,14,3,1,0,0,10,5.75,1.28
Hoffenheim,RB Leipzig,6,1,2,A,13,18,6,7,4,14,4,8,1,3,0,0,2.04,3.75,3.4
Leverkusen,Dortmund,6,2,4,A,14,16,6,10,11,12,6,8,1,1,0,0,2.8,3.5,2.4
Nürnberg,Düsseldorf,6,3,0,H,10,13,6,4,10,9,4,4,0,2,0,0,2.14,3.4,3.4
Schalke 04,Mainz 05,6,1,0,H,15,15,2,5,22,21,4,5,2,2,0,0,1.64,3.75,5.5
Stuttgart,Werder Bremen,6,2,1,H,18,14,5,3,15,14,6,8,3,4,0,1,2.7,3.25,2.7
Wolfsburg,M'Gladbach,6,2,2,D,13,10,3,3,6,14,6,3,2,2,0,0,2.3,3.4,3.1
Bayern Munich,M'Gladbach,7,0,3,A,14,7,3,3,7,4,1,3,2,2,0,0,1.2,7,13
Dortmund,Augsburg,7,4,3,H,20,12,8,6,5,29,9,6,1,7,0,0,1.44,4.75,7
Düsseldorf,Schalke 04,7,0,2,A,9,15,3,5,17,15,4,6,3,1,0,0,3.6,3.4,2.1
Freiburg,Leverkusen,7,0,0,D,7,14,1,0,11,12,3,4,3,1,0,0,3.4,3.4,2.14
Hannover 96,Stuttgart,7,3,1,H,15,11,6,5,16,11,5,7,1,2,0,0,2.5,3.3,2.87
Hoffenheim,Eint Frankfurt,7,1,2,A,20,6,4,4,15,16,6,0,2,4,0,1,1.72,3.8,4.75
Mainz 05,Hertha BSC,7,0,0,D,23,11,3,1,12,9,5,6,0,2,0,0,2.7,3.2,2.7
RB Leipzig,Nürnberg,7,6,0,H,18,3,8,0,11,12,6,1,0,1,0,1,1.44,4.75,7
Werder Bremen,Wolfsburg,7,2,0,H,15,10,5,4,12,13,7,5,1,2,0,0,1.95,3.5,4
Augsburg,RB Leipzig,8,0,0,D,6,15,0,3,20,24,2,2,2,5,0,0,3,3.5,2.3
Eint Frankfurt,Düsseldorf,8,7,1,H,21,10,13,5,13,12,5,1,0,2,0,0,1.61,3.8,5.75
Hertha BSC,Freiburg,8,1,1,D,13,8,5,3,12,14,8,3,2,0,0,0,1.85,3.6,4.33
Leverkusen,Hannover 96,8,2,2,D,19,9,7,7,14,18,9,5,1,5,0,1,1.5,4.33,6.5
M'Gladbach,Mainz 05,8,4,0,H,16,13,8,4,4,10,4,6,0,2,0,0,1.61,4.33,5
Nürnberg,Hoffenheim,8,1,3,A,7,20,2,12,8,9,1,7,4,2,0,0,3.75,3.8,1.9
Schalke 04,Werder Bremen,8,0,2,A,14,8,4,3,13,9,3,1,1,4,0,0,2.04,3.4,3.75
